                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2317,                0.83129,                0.94994,                0.99905,                      1,                  0.995,                0.59653,                 1.3869,                0.91754,                 1.0016,               0.008878,               0.008878,               0.008878
                     36,                 1.2936,                0.89069,                0.96301,                0.99936,                      1,                  0.995,                0.68124,                  1.172,                0.70946,                0.96038,               0.008845,               0.008845,               0.008845
                     37,                 1.2501,                 0.7618,                0.92498,                0.99945,                      1,                  0.995,                0.62228,                 1.3723,                0.81877,                 1.0009,               0.008812,               0.008812,               0.008812
                     38,                 1.2726,                0.82587,                0.95867,                0.99914,                      1,                  0.995,                0.65723,                 1.1962,                  0.681,                0.95998,               0.008779,               0.008779,               0.008779
                     39,                 1.2553,                0.74052,                0.92739,                0.99894,                      1,                  0.995,                0.58177,                 1.4163,                0.74412,                 1.0267,               0.008746,               0.008746,               0.008746
                     40,                 1.2994,                0.76627,                0.93824,                0.99851,                      1,                  0.995,                0.67719,                 1.1479,                0.66756,                0.94489,               0.008713,               0.008713,               0.008713
                     41,                 1.2721,                0.72802,                0.92526,                0.99893,                      1,                  0.995,                0.59289,                 1.3804,                0.73573,                 1.0072,                0.00868,                0.00868,                0.00868
                     42,                 1.3022,                0.76545,                0.92257,                0.99839,                      1,                  0.995,                0.67325,                 1.1419,                0.65165,                0.94121,               0.008647,               0.008647,               0.008647
                     43,                 1.2852,                0.73615,                0.91805,                0.99997,                      1,                  0.995,                0.62514,                 1.3022,                0.72119,                0.99301,               0.008614,               0.008614,               0.008614
                     44,                 1.2483,                0.80189,                0.94715,                0.99713,                      1,                  0.995,                0.66583,                  1.137,                0.72889,                0.93212,               0.008581,               0.008581,               0.008581
                     45,                 1.2221,                0.81033,                0.95447,                0.99881,                      1,                  0.995,                0.64711,                 1.2323,                0.82105,                0.96718,               0.008548,               0.008548,               0.008548
                     46,                  1.167,                0.74085,                0.91131,                0.99857,                      1,                  0.995,                0.69165,                 1.1658,                0.67553,                0.94779,               0.008515,               0.008515,               0.008515
                     47,                 1.2497,                0.77251,                0.91291,                0.99777,                      1,                  0.995,                0.59906,                 1.2955,                0.88632,                0.98435,               0.008482,               0.008482,               0.008482
                     48,                 1.1987,                0.74655,                0.92977,                0.99845,                      1,                  0.995,                0.66183,                 1.1552,                0.63295,                0.95038,               0.008449,               0.008449,               0.008449
                     49,                 1.1559,                0.71106,                0.91134,                  0.999,                      1,                  0.995,                0.66879,                 1.2276,                0.68819,                0.96963,               0.008416,               0.008416,               0.008416
                     50,                 1.2213,                 0.7037,                0.94418,                0.99959,                      1,                  0.995,                 0.6832,                 1.1939,                0.65663,                0.96456,               0.008383,               0.008383,               0.008383
                     51,                 1.2776,                0.69205,                0.91382,                0.99905,                      1,                  0.995,                0.65494,                 1.2075,                0.67478,                0.95887,                0.00835,                0.00835,                0.00835
                     52,                 1.1609,                 0.6836,                0.92789,                0.99887,                      1,                  0.995,                0.65785,                 1.2342,                0.65273,                0.97779,               0.008317,               0.008317,               0.008317
                     53,                 1.1923,                0.66721,                0.92608,                0.99901,                      1,                  0.995,                0.66659,                 1.1756,                0.67895,                0.95224,               0.008284,               0.008284,               0.008284
                     54,                 1.1672,                0.67257,                0.90509,                0.99844,                      1,                  0.995,                0.66392,                 1.2737,                0.63708,                0.98419,               0.008251,               0.008251,               0.008251
                     55,                 1.1806,                0.67722,                0.90629,                0.99863,                      1,                  0.995,                0.65272,                 1.1235,                0.63371,                0.92602,               0.008218,               0.008218,               0.008218
                     56,                 1.1132,                0.64305,                0.89142,                 0.9984,                      1,                  0.995,                0.63885,                 1.3226,                0.63766,                 1.0044,               0.008185,               0.008185,               0.008185
                     57,                 1.2516,                0.65828,                0.94077,                 0.9978,                      1,                  0.995,                0.67218,                 1.1769,                0.61951,                0.95185,               0.008152,               0.008152,               0.008152
                     58,                 1.2187,                0.66349,                0.93705,                0.99618,                      1,                  0.995,                0.65029,                 1.2759,                0.67512,                0.98301,               0.008119,               0.008119,               0.008119
                     59,                 1.2552,                0.70687,                0.92024,                 0.9984,                      1,                  0.995,                 0.6662,                 1.1748,                0.64428,                0.95325,               0.008086,               0.008086,               0.008086
