                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7125,                0.77532,                0.88751,                0.99071,                0.96552,                0.98891,                0.49932,                 1.6282,                0.71684,                0.88283,               0.008878,               0.008878,               0.008878
                     36,                  1.722,                0.78918,                0.89424,                0.99238,                0.96336,                0.98867,                0.48202,                 1.6695,                0.73333,                0.88964,               0.008845,               0.008845,               0.008845
                     37,                 1.7195,                0.79847,                0.90342,                0.97851,                0.94828,                0.98186,                0.50302,                  1.604,                0.78991,                0.88037,               0.008812,               0.008812,               0.008812
                     38,                 1.6993,                0.80786,                0.89905,                0.99487,                0.96983,                0.98981,                0.48497,                 1.6763,                0.74551,                0.89259,               0.008779,               0.008779,               0.008779
                     39,                 1.6904,                0.78415,                0.89174,                0.99909,                0.96336,                0.99277,                0.50355,                 1.6108,                0.72313,                0.87695,               0.008746,               0.008746,               0.008746
                     40,                  1.704,                0.78012,                0.90009,                 0.9953,                0.92241,                0.95821,                0.47713,                 1.6343,                0.82969,                0.88683,               0.008713,               0.008713,               0.008713
                     41,                 1.6908,                0.77946,                0.90462,                0.95629,                0.89655,                 0.9143,                0.37721,                 1.9213,                  1.005,                0.92559,                0.00868,                0.00868,                0.00868
                     42,                 1.6721,                0.74265,                0.89408,                0.99781,                0.98058,                0.98889,                0.52632,                 1.5779,                0.69156,                0.87615,               0.008647,               0.008647,               0.008647
                     43,                 1.6778,                0.74798,                0.89682,                 0.9996,                0.99138,                  0.995,                0.53184,                 1.5726,                0.70139,                0.87394,               0.008614,               0.008614,               0.008614
                     44,                 1.6732,                0.76026,                0.88989,                0.99773,                0.94879,                0.98153,                0.49945,                 1.6397,                0.72828,                 0.8839,               0.008581,               0.008581,               0.008581
                     45,                 1.6883,                0.76426,                0.88635,                 0.9935,                0.98749,                0.99348,                0.52121,                  1.555,                0.68875,                0.87811,               0.008548,               0.008548,               0.008548
                     46,                 1.6677,                0.75536,                0.89132,                0.99565,                0.98641,                0.99319,                0.52973,                 1.6111,                0.71376,                0.87505,               0.008515,               0.008515,               0.008515
                     47,                  1.638,                 0.7326,                   0.89,                0.98835,                0.97845,                0.98682,                 0.4862,                 1.6633,                 0.7278,                0.89406,               0.008482,               0.008482,               0.008482
                     48,                 1.6806,                0.73785,                 0.8932,                0.99775,                0.95468,                0.99184,                0.48434,                  1.681,                0.71813,                0.89734,               0.008449,               0.008449,               0.008449
                     49,                 1.6656,                0.74778,                0.88169,                0.99599,                0.98276,                0.99483,                0.48844,                  1.652,                0.70929,                0.88617,               0.008416,               0.008416,               0.008416
                     50,                 1.6793,                0.72733,                0.89798,                0.99942,                0.93103,                0.97621,                 0.4989,                 1.6455,                0.76707,                0.88829,               0.008383,               0.008383,               0.008383
                     51,                 1.6345,                0.74342,                0.89185,                      1,                0.97803,                0.99454,                0.52548,                 1.5795,                 0.6887,                0.87499,                0.00835,                0.00835,                0.00835
                     52,                  1.647,                 0.7331,                0.88643,                0.97965,                0.93372,                0.97855,                0.47346,                 1.7125,                0.77226,                0.89288,               0.008317,               0.008317,               0.008317
                     53,                 1.6819,                0.76267,                0.89224,                0.99285,                0.97629,                0.98787,                 0.5013,                 1.6489,                0.71052,                0.88175,               0.008284,               0.008284,               0.008284
                     54,                 1.6673,                0.74633,                0.89579,                0.99783,                0.99188,                0.99498,                0.49477,                 1.6023,                0.72184,                0.87807,               0.008251,               0.008251,               0.008251
                     55,                 1.6549,                0.74995,                0.88395,                0.99354,                0.99515,                0.99494,                0.50605,                 1.5872,                0.70378,                0.87313,               0.008218,               0.008218,               0.008218
                     56,                 1.6712,                0.72359,                0.89761,                0.96397,                0.88147,                0.90621,                0.40429,                 1.9663,                 1.0182,                0.94593,               0.008185,               0.008185,               0.008185
                     57,                 1.6507,                0.73004,                0.88437,                0.98846,                 0.9806,                0.99083,                0.50732,                 1.6457,                0.72278,                0.88597,               0.008152,               0.008152,               0.008152
                     58,                 1.6384,                0.72195,                0.88751,                0.98773,                0.96983,                 0.9886,                0.49621,                  1.633,                0.71686,                0.88468,               0.008119,               0.008119,               0.008119
                     59,                 1.6736,                0.74507,                0.89046,                0.98706,                0.98671,                0.99389,                0.51219,                 1.6143,                0.67738,                0.87961,               0.008086,               0.008086,               0.008086
                     60,                 1.6351,                 0.7277,                0.88251,                0.99563,                0.98262,                0.99277,                 0.5263,                 1.5531,                0.68892,                0.87801,               0.008053,               0.008053,               0.008053
                     61,                 1.6391,                0.72323,                0.89132,                0.99562,                0.98044,                 0.9921,                0.51715,                 1.5505,                0.68584,                0.87203,                0.00802,                0.00802,                0.00802
                     62,                 1.6319,                 0.7098,                0.88394,                0.99782,                0.98843,                0.99374,                0.51985,                 1.5848,                0.66551,                0.87575,               0.007987,               0.007987,               0.007987
                     63,                 1.6026,                0.71563,                0.87729,                0.99553,                0.96076,                0.98037,                0.51012,                 1.6328,                 0.7093,                0.88447,               0.007954,               0.007954,               0.007954
                     64,                 1.6622,                0.72808,                0.88635,                0.99781,                0.98209,                0.99442,                0.51913,                 1.5553,                0.64852,                0.86934,               0.007921,               0.007921,               0.007921
                     65,                  1.617,                0.72251,                0.88449,                 0.9993,                0.98276,                0.99462,                0.51053,                 1.5572,                0.70701,                0.87181,               0.007888,               0.007888,               0.007888
                     66,                 1.6243,                 0.7193,                0.87122,                0.99003,                0.96121,                0.98552,                0.48659,                 1.6196,                0.69595,                0.87835,               0.007855,               0.007855,               0.007855
                     67,                 1.6519,                0.72803,                0.88948,                0.99566,                0.98891,                0.99123,                0.49172,                 1.6269,                0.69044,                0.88211,               0.007822,               0.007822,               0.007822
                     68,                 1.5974,                0.70273,                0.87965,                0.98832,                0.99353,                0.98864,                0.49909,                 1.6375,                0.69689,                0.88161,               0.007789,               0.007789,               0.007789
                     69,                 1.6399,                0.70825,                0.88755,                      1,                0.99427,                  0.995,                0.50666,                 1.5831,                0.66888,                 0.8774,               0.007756,               0.007756,               0.007756
                     70,                 1.6355,                0.71831,                0.88508,                0.99565,                0.98659,                 0.9922,                0.51791,                 1.6017,                0.67513,                0.87096,               0.007723,               0.007723,               0.007723
                     71,                 1.5996,                0.70492,                0.87635,                0.98484,                0.97414,                0.99262,                0.52072,                 1.5786,                0.67994,                0.87512,                0.00769,                0.00769,                0.00769
                     72,                 1.6139,                0.69407,                0.87835,                 0.9929,                0.97198,                0.98936,                0.49462,                 1.6933,                0.69906,                0.89424,               0.007657,               0.007657,               0.007657
                     73,                 1.6256,                0.71339,                0.88582,                0.98915,                0.98212,                0.99042,                0.50908,                 1.6064,                0.68709,                0.88631,               0.007624,               0.007624,               0.007624
                     74,                 1.5986,                0.69311,                0.88863,                0.99343,                0.99138,                0.99489,                0.51895,                 1.5806,                0.63969,                0.87868,               0.007591,               0.007591,               0.007591
                     75,                 1.6093,                 0.6926,                0.87925,                0.98929,                 0.9569,                 0.9811,                0.46624,                 1.7084,                0.72924,                0.89242,               0.007558,               0.007558,               0.007558
                     76,                 1.6043,                0.69605,                0.86857,                0.99938,                0.98491,                0.99411,                 0.5438,                 1.5459,                0.64504,                0.87244,               0.007525,               0.007525,               0.007525
                     77,                 1.6056,                0.71541,                0.88946,                0.99144,                0.97629,                 0.9868,                0.48561,                 1.6355,                0.71949,                0.88144,               0.007492,               0.007492,               0.007492
                     78,                 1.5969,                0.69268,                0.88203,                0.99303,                0.98491,                0.99307,                0.51299,                 1.6406,                 0.6666,                0.88382,               0.007459,               0.007459,               0.007459
                     79,                 1.6029,                0.68944,                0.88401,                 0.9957,                0.99808,                  0.995,                0.52215,                  1.583,                0.64831,                0.88393,               0.007426,               0.007426,               0.007426
                     80,                 1.5837,                 0.6861,                0.88081,                0.99859,                0.98707,                0.99487,                0.51746,                 1.6081,                0.64371,                0.87729,               0.007393,               0.007393,               0.007393
                     81,                  1.616,                0.69491,                 0.8788,                0.99307,                0.98922,                0.99461,                0.53391,                 1.5461,                0.64542,                0.87072,                0.00736,                0.00736,                0.00736
                     82,                 1.5928,                0.69232,                0.88439,                0.99055,                0.97414,                0.99059,                0.52934,                 1.5362,                0.65276,                0.87269,               0.007327,               0.007327,               0.007327
                     83,                 1.5976,                 0.6999,                 0.8812,                0.99973,                0.98922,                0.99494,                0.53378,                 1.5336,                0.65258,                0.86968,               0.007294,               0.007294,               0.007294
                     84,                 1.6079,                0.69202,                0.88162,                0.99688,                0.98922,                0.99496,                0.53522,                 1.5277,                0.65307,                0.86704,               0.007261,               0.007261,               0.007261
                     85,                 1.5802,                0.68537,                0.87782,                0.99783,                0.99016,                0.99498,                0.54512,                 1.5679,                 0.6499,                0.86972,               0.007228,               0.007228,               0.007228
                     86,                  1.584,                 0.6946,                  0.879,                0.99133,                0.95043,                0.98402,                0.48391,                 1.6944,                0.73504,                0.88715,               0.007195,               0.007195,               0.007195
                     87,                 1.5976,                0.67995,                0.88307,                0.99959,                0.99569,                  0.995,                 0.5086,                 1.5796,                0.63177,                0.87394,               0.007162,               0.007162,               0.007162
                     88,                  1.603,                0.69636,                0.88251,                0.99569,                0.99536,                0.99402,                0.52188,                 1.5833,                 0.6552,                0.87287,               0.007129,               0.007129,               0.007129
                     89,                 1.5696,                0.68794,                0.87129,                0.99866,                0.99138,                  0.995,                0.51299,                 1.5901,                0.66264,                0.87096,               0.007096,               0.007096,               0.007096
                     90,                 1.5867,                0.68366,                0.88568,                 0.9986,                0.98922,                0.99498,                0.53121,                 1.5759,                0.64495,                0.87499,               0.007063,               0.007063,               0.007063
                     91,                 1.5732,                0.69538,                0.88163,                0.97232,                0.93103,                0.95385,                0.42067,                 1.8678,                 0.8225,                 0.9174,                0.00703,                0.00703,                0.00703
                     92,                 1.6079,                0.69789,                0.87851,                0.99072,                0.92026,                0.96262,                0.45358,                  1.792,                0.79749,                0.90909,               0.006997,               0.006997,               0.006997
                     93,                 1.5585,                0.67203,                0.87343,                0.99496,                0.98491,                 0.9943,                0.51907,                 1.5894,                0.66687,                0.87618,               0.006964,               0.006964,               0.006964
                     94,                 1.5901,                0.69161,                 0.8807,                 0.9889,                0.95971,                0.98286,                0.50513,                 1.6651,                0.69264,                0.88424,               0.006931,               0.006931,               0.006931
                     95,                 1.5858,                0.68088,                0.87266,                0.99494,                0.98491,                 0.9919,                0.47308,                 1.6918,                 0.6891,                0.88814,               0.006898,               0.006898,               0.006898
                     96,                 1.5792,                0.68072,                0.87429,                0.99493,                0.99353,                0.99494,                0.52117,                 1.5781,                0.64221,                0.87737,               0.006865,               0.006865,               0.006865
                     97,                 1.5574,                0.67673,                 0.8818,                0.99956,                0.99569,                  0.995,                0.52147,                 1.6027,                0.64356,                0.87789,               0.006832,               0.006832,               0.006832
                     98,                 1.5694,                0.68752,                0.87123,                0.99782,                0.98469,                 0.9937,                0.54262,                 1.5348,                  0.642,                0.86435,               0.006799,               0.006799,               0.006799
                     99,                 1.5759,                0.67711,                 0.8744,                0.99568,                0.99319,                 0.9938,                0.49196,                 1.5978,                0.64857,                0.88172,               0.006766,               0.006766,               0.006766
                    100,                 1.5648,                0.66658,                0.87359,                0.97202,                0.97341,                0.97344,                0.48392,                 1.6561,                0.68607,                0.88523,               0.006733,               0.006733,               0.006733
                    101,                 1.5515,                0.65888,                0.88072,                0.99566,                0.98834,                 0.9936,                0.51119,                 1.5628,                0.65008,                0.87454,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.5491,                0.66752,                 0.8712,                      1,                0.98868,                0.99496,                0.50673,                 1.5654,                0.64479,                 0.8733,               0.006667,               0.006667,               0.006667
                    103,                 1.5851,                0.68018,                0.88112,                0.99316,                0.98707,                0.99294,                0.52651,                 1.5704,                0.65771,                0.87302,               0.006634,               0.006634,               0.006634
                    104,                 1.5732,                0.66546,                0.88429,                0.99553,                0.99138,                0.99387,                0.53072,                 1.5502,                0.62813,                0.87142,               0.006601,               0.006601,               0.006601
                    105,                 1.5626,                0.67331,                0.87493,                0.99569,                0.99554,                0.99352,                0.51654,                  1.574,                0.64281,                 0.8718,               0.006568,               0.006568,               0.006568
                    106,                  1.585,                0.67617,                0.87408,                0.99512,                0.99353,                0.99323,                0.53329,                 1.5221,                0.64507,                0.87007,               0.006535,               0.006535,               0.006535
                    107,                 1.5639,                0.66674,                0.88076,                      1,                0.98823,                0.99483,                0.53632,                 1.5236,                0.63435,                0.86841,               0.006502,               0.006502,               0.006502
                    108,                 1.5602,                0.66807,                0.87506,                0.99784,                0.99735,                  0.995,                0.53396,                 1.5271,                0.63015,                0.86734,               0.006469,               0.006469,               0.006469
                    109,                 1.5567,                0.66855,                0.87134,                0.99114,                0.98707,                0.98996,                0.51093,                 1.6067,                0.66504,                0.87357,               0.006436,               0.006436,               0.006436
                    110,                 1.5422,                0.68326,                0.87263,                0.99726,                0.98276,                 0.9894,                0.53144,                  1.531,                0.64765,                0.86677,               0.006403,               0.006403,               0.006403
                    111,                 1.5272,                0.65131,                0.86776,                0.99538,                0.98707,                 0.9933,                0.53851,                 1.5461,                 0.6418,                0.87012,                0.00637,                0.00637,                0.00637
                    112,                 1.5403,                0.65215,                0.86403,                0.99921,                0.98707,                0.99494,                0.53478,                 1.5205,                0.62784,                0.86948,               0.006337,               0.006337,               0.006337
                    113,                  1.605,                0.68484,                0.88308,                      1,                0.99345,                  0.995,                0.53143,                 1.5534,                0.65166,                0.86992,               0.006304,               0.006304,               0.006304
                    114,                 1.5418,                0.66534,                0.87793,                0.99519,                0.99569,                0.99498,                0.53657,                 1.5249,                0.64033,                0.86807,               0.006271,               0.006271,               0.006271
                    115,                 1.5332,                0.65807,                0.87002,                0.99942,                0.99569,                  0.995,                0.54598,                 1.5163,                0.63076,                0.86661,               0.006238,               0.006238,               0.006238
                    116,                 1.5645,                0.65284,                0.87856,                 0.9949,                0.98922,                0.99317,                0.50942,                 1.5326,                0.62747,                0.86836,               0.006205,               0.006205,               0.006205
                    117,                 1.5418,                0.64737,                0.86525,                0.99465,                0.99353,                0.99437,                0.52938,                 1.5766,                0.63344,                0.87122,               0.006172,               0.006172,               0.006172
                    118,                  1.562,                0.68279,                0.88098,                0.99942,                0.99784,                  0.995,                0.52991,                 1.5379,                0.63701,                0.86961,               0.006139,               0.006139,               0.006139
                    119,                 1.5231,                 0.6506,                0.87158,                0.99558,                0.98707,                0.99392,                0.50582,                 1.6309,                0.65742,                0.88129,               0.006106,               0.006106,               0.006106
                    120,                 1.5436,                0.65129,                0.86618,                0.96447,                0.93604,                0.94442,                0.36944,                 1.8988,                0.83731,                0.91759,               0.006073,               0.006073,               0.006073
                    121,                 1.5253,                0.64539,                0.86803,                0.99518,                0.99569,                0.99498,                0.53868,                 1.5502,                0.61318,                0.87036,                0.00604,                0.00604,                0.00604
                    122,                 1.5264,                0.63844,                0.86805,                      1,                0.99316,                  0.995,                0.54274,                 1.5667,                0.61799,                0.86991,               0.006007,               0.006007,               0.006007
                    123,                 1.5375,                0.64557,                0.86893,                0.99352,                0.99137,                0.99292,                0.55456,                 1.5478,                 0.6128,                0.86977,               0.005974,               0.005974,               0.005974
                    124,                 1.5599,                0.65638,                0.87497,                0.99713,                0.99569,                 0.9939,                0.53289,                 1.5376,                0.61408,                 0.8676,               0.005941,               0.005941,               0.005941
                    125,                 1.5336,                0.65897,                 0.8702,                0.99495,                0.98922,                0.99257,                0.52764,                 1.5453,                0.64347,                  0.867,               0.005908,               0.005908,               0.005908
                    126,                 1.5491,                0.64883,                0.86245,                0.99783,                0.99053,                0.99498,                0.53274,                 1.5318,                0.61864,                0.86658,               0.005875,               0.005875,               0.005875
                    127,                 1.5447,                0.66348,                0.87152,                      1,                0.98029,                0.99407,                0.53968,                 1.6108,                 0.6445,                0.87669,               0.005842,               0.005842,               0.005842
                    128,                 1.5624,                0.66868,                0.87318,                0.99964,                0.99353,                  0.995,                 0.5243,                 1.5781,                0.61542,                0.87185,               0.005809,               0.005809,               0.005809
                    129,                 1.5408,                0.65098,                0.87259,                 0.9975,                0.99569,                  0.995,                0.53177,                 1.5327,                0.60948,                0.86839,               0.005776,               0.005776,               0.005776
                    130,                  1.519,                0.63631,                0.87541,                      1,                0.99977,                  0.995,                0.55374,                 1.5318,                0.61289,                0.86917,               0.005743,               0.005743,               0.005743
                    131,                 1.5056,                0.64958,                0.86433,                      1,                0.99569,                  0.995,                0.55552,                 1.5067,                0.60793,                0.86628,                0.00571,                0.00571,                0.00571
                    132,                 1.5225,                0.65717,                0.86491,                0.99801,                0.99353,                  0.995,                0.53778,                  1.536,                0.61964,                0.86757,               0.005677,               0.005677,               0.005677
                    133,                 1.5503,                0.64804,                0.87277,                0.99136,                0.98899,                0.98894,                0.54074,                 1.5626,                0.62371,                0.87018,               0.005644,               0.005644,               0.005644
                    134,                 1.5445,                0.64287,                 0.8783,                0.99766,                0.99569,                  0.995,                0.54342,                 1.5264,                0.62177,                0.86561,               0.005611,               0.005611,               0.005611
                    135,                 1.4889,                0.63863,                0.86055,                0.99975,                0.99784,                  0.995,                0.55077,                 1.5506,                0.60934,                0.86816,               0.005578,               0.005578,               0.005578
                    136,                 1.5423,                0.65665,                0.87029,                0.99354,                0.99502,                0.99375,                0.53205,                 1.5624,                0.63387,                0.86812,               0.005545,               0.005545,               0.005545
                    137,                 1.4734,                 0.6231,                0.86885,                0.99783,                 0.9932,                0.99396,                0.54813,                 1.5426,                0.60312,                0.86855,               0.005512,               0.005512,               0.005512
                    138,                 1.5139,                0.62493,                0.87286,                0.99976,                      1,                  0.995,                0.54625,                 1.5002,                0.59389,                0.86648,               0.005479,               0.005479,               0.005479
                    139,                  1.502,                0.64013,                0.87313,                0.99783,                0.98899,                0.99415,                0.52882,                 1.5539,                0.63421,                0.86897,               0.005446,               0.005446,               0.005446
                    140,                 1.5426,                 0.6553,                0.86937,                0.99407,                0.99353,                0.99235,                0.52809,                 1.5784,                0.65224,                0.86906,               0.005413,               0.005413,               0.005413
                    141,                 1.5285,                0.64639,                0.86941,                0.99966,                0.99138,                  0.995,                0.54542,                 1.5088,                0.61235,                0.86607,                0.00538,                0.00538,                0.00538
                    142,                 1.5184,                0.64399,                 0.8637,                      1,                0.99109,                  0.995,                0.50655,                 1.5845,                0.63197,                0.87543,               0.005347,               0.005347,               0.005347
                    143,                 1.5087,                0.63506,                0.86429,                0.99749,                0.99353,                0.99485,                0.52315,                 1.5497,                0.60075,                0.86967,               0.005314,               0.005314,               0.005314
                    144,                 1.5279,                0.62971,                0.87139,                0.99754,                0.99569,                  0.995,                0.52851,                 1.5553,                0.61478,                0.87069,               0.005281,               0.005281,               0.005281
                    145,                 1.4836,                0.62785,                0.86337,                0.99988,                0.99784,                  0.995,                0.54585,                 1.5142,                 0.5943,                0.86308,               0.005248,               0.005248,               0.005248
                    146,                 1.5165,                0.62761,                0.87111,                0.99974,                      1,                  0.995,                0.53111,                 1.5434,                0.60223,                0.86757,               0.005215,               0.005215,               0.005215
                    147,                   1.51,                0.63111,                0.87682,                0.99937,                0.99784,                  0.995,                0.52993,                 1.5535,                0.61189,                0.86962,               0.005182,               0.005182,               0.005182
