frame_id,time,detected,x1,y1,x2,y2,c1,c2
1.0,0.0,1.0,325.5789794921875,163.40469360351562,108.13186645507812,106.87603759765625,0.7760713696479797,0.7747142314910889
2.0,0.03333333333333333,1.0,325.5757141113281,163.2270965576172,108.09229278564453,107.6789321899414,0.7825194001197815,0.7662349343299866
3.0,0.06666666666666667,1.0,325.66790771484375,163.10577392578125,108.46835327148438,108.55770111083984,0.7869454026222229,0.7637972235679626
4.0,0.1,1.0,325.76849365234375,162.9716796875,108.71491241455078,109.48275756835938,0.7677182555198669,0.7565928101539612
5.0,0.13333333333333333,1.0,325.84320068359375,162.76504516601562,108.77670288085938,110.48043823242188,0.7537167072296143,0.7484114170074463
6.0,0.16666666666666669,1.0,325.6358337402344,162.49127197265625,109.37683868408203,111.19796752929688,0.757583737373352,0.7528665065765381
7.0,0.2,1.0,325.5501708984375,162.2034454345703,109.6651611328125,111.7665023803711,0.7755399346351624,0.7617696523666382
8.0,0.23333333333333334,1.0,325.3345947265625,161.9871826171875,109.7667236328125,111.52847290039062,0.7742815613746643,0.7621584534645081
9.0,0.26666666666666666,1.0,325.30657958984375,161.99061584472656,109.90518188476562,111.24708557128906,0.7671184539794922,0.7591972947120667
10.0,0.3,1.0,325.12225341796875,161.8301239013672,109.95635223388672,110.64889526367188,0.7671722173690796,0.7527437806129456
11.0,0.33333333333333337,1.0,324.8774108886719,161.8365936279297,110.0326919555664,110.15885162353516,0.7736744284629822,0.750760555267334
12.0,0.3666666666666667,1.0,324.6414794921875,161.8416748046875,110.17160034179688,109.55203247070312,0.7728447318077087,0.736359179019928
13.0,0.4,1.0,324.39044189453125,161.88177490234375,110.51847839355469,108.92552947998047,0.7802088260650635,0.741808295249939
14.0,0.43333333333333335,1.0,324.1580810546875,161.8709716796875,110.6634521484375,108.05348205566406,0.785029947757721,0.7559763193130493
15.0,0.4666666666666667,1.0,323.7535400390625,161.7555694580078,111.123046875,107.58346557617188,0.7878124713897705,0.7648365497589111
16.0,0.5,1.0,323.4752502441406,161.66973876953125,111.34892272949219,107.11858367919922,0.7903901934623718,0.7601032853126526
17.0,0.5333333333333333,1.0,322.9747314453125,161.71270751953125,111.80486297607422,106.47235107421875,0.7845677137374878,0.7547197937965393
18.0,0.5666666666666667,1.0,322.64031982421875,161.75701904296875,112.23530578613281,105.82485961914062,0.7905063033103943,0.7487685084342957
19.0,0.6,1.0,322.11920166015625,161.76100158691406,112.66239929199219,105.43792724609375,0.7891243696212769,0.7353167533874512
20.0,0.6333333333333334,1.0,321.79833984375,161.85382080078125,113.34397888183594,104.89604949951172,0.7990201115608215,0.7552084922790527
21.0,0.6666666666666667,1.0,321.1607971191406,161.72230529785156,113.78884887695312,104.57478332519531,0.799997091293335,0.7699295282363892
22.0,0.7000000000000001,1.0,320.6923828125,161.88099670410156,114.60548400878906,104.24787902832031,0.7970565557479858,0.783470869064331
23.0,0.735,1.0,320.20697021484375,162.00245666503906,115.34524536132812,103.7955322265625,0.7812955379486084,0.7677717804908752
24.0,0.7683333333333334,1.0,319.64569091796875,162.03997802734375,116.0438461303711,103.24966430664062,0.7978224158287048,0.7608554363250732
25.0,0.8016666666666667,1.0,319.4052734375,162.09878540039062,116.90516662597656,103.10913848876953,0.7976951599121094,0.7808732390403748
26.0,0.8350000000000001,1.0,318.7734375,162.19033813476562,117.82598876953125,102.97857666015625,0.7916315793991089,0.7846655249595642
27.0,0.8683333333333334,1.0,318.147216796875,162.146728515625,118.78324890136719,102.92756652832031,0.7975243330001831,0.7774403095245361
28.0,0.9016666666666667,1.0,317.86029052734375,162.20082092285156,119.86145782470703,102.6971435546875,0.7944648265838623,0.7719995975494385
29.0,0.935,1.0,317.19915771484375,162.20367431640625,120.68106842041016,102.51496124267578,0.7702124118804932,0.7495860457420349
30.0,0.9683333333333334,1.0,316.702880859375,162.32818603515625,121.97651672363281,102.5306167602539,0.7787026166915894,0.7507866024971008
31.0,1.0016666666666667,1.0,316.25262451171875,162.34857177734375,123.0921401977539,102.22885131835938,0.7731781005859375,0.7656962275505066
32.0,1.0350000000000001,1.0,315.7027282714844,162.35733032226562,124.05508422851562,101.86854553222656,0.7805721759796143,0.7503657937049866
33.0,1.0683333333333334,1.0,315.26287841796875,162.34234619140625,125.17471313476562,101.69511413574219,0.760675311088562,0.7518401741981506
34.0,1.1016666666666668,1.0,314.5606994628906,162.34518432617188,126.40349578857422,101.22056579589844,0.7736163139343262,0.7575791478157043
35.0,1.135,1.0,314.04290771484375,162.33685302734375,127.56114196777344,100.917724609375,0.7810611724853516,0.7487281560897827
36.0,1.1683333333333334,1.0,313.4024658203125,162.204345703125,128.64712524414062,100.52713775634766,0.7691584825515747,0.7513265013694763
37.0,1.2016666666666667,1.0,312.37811279296875,162.19015502929688,130.40089416503906,100.21012115478516,0.7560849189758301,0.7315218448638916
38.0,1.235,1.0,311.74755859375,162.19451904296875,131.59173583984375,99.80433654785156,0.7764058113098145,0.7609628438949585
39.0,1.2683333333333333,1.0,311.0919494628906,162.14474487304688,132.95584106445312,99.27826690673828,0.8041960597038269,0.7583789229393005
40.0,1.3016666666666667,1.0,310.1689453125,161.80810546875,134.27064514160156,98.91409301757812,0.789361834526062,0.7757309079170227
41.0,1.335,1.0,309.3565673828125,161.94015502929688,135.81028747558594,98.22958374023438,0.7862728238105774,0.7843066453933716
42.0,1.3683333333333334,1.0,308.51397705078125,161.40069580078125,137.09954833984375,98.04422760009766,0.8003314137458801,0.7902678847312927
