frame_id,time,detected,x1,y1,x2,y2,x3,y3,c1,c2,c3
1.0,0.0,1.0,268.0614929199219,111.30255126953125,166.14950561523438,119.64928436279297,152.64089965820312,127.8061294555664,0.7720161080360413,0.7496211528778076,0.7476893663406372
2.0,0.03333333333333333,1.0,269.44793701171875,111.73294830322266,165.36341857910156,119.12603759765625,151.0496826171875,127.1659164428711,0.7740684747695923,0.7639909386634827,0.7319161295890808
3.0,0.06666666666666667,1.0,270.892822265625,112.271484375,164.52383422851562,118.59481811523438,149.56845092773438,126.58384704589844,0.758743941783905,0.7553961873054504,0.7146410346031189
4.0,0.1,1.0,272.33837890625,112.88294982910156,163.70358276367188,118.0489501953125,148.1824188232422,126.02218627929688,0.76689213514328,0.7433134317398071,0.7266089916229248
5.0,0.13333333333333333,1.0,273.88470458984375,113.29499816894531,162.84982299804688,117.58114624023438,147.13499450683594,125.43585968017578,0.7695336937904358,0.7422296404838562,0.7234593033790588
6.0,0.16666666666666669,1.0,275.0404052734375,113.65135192871094,161.73394775390625,116.98664855957031,146.20297241210938,125.32464599609375,0.7737873196601868,0.7435298562049866,0.7347308993339539
7.0,0.2,1.0,276.3038635253906,114.36229705810547,160.73855590820312,116.14158630371094,145.77865600585938,125.0181884765625,0.7872606515884399,0.769902229309082,0.7551684379577637
8.0,0.23333333333333334,1.0,277.38079833984375,114.85784912109375,159.78546142578125,115.61868286132812,145.14772033691406,124.68690490722656,0.7814826369285583,0.7640856504440308,0.759655773639679
9.0,0.26666666666666666,1.0,278.3619384765625,115.52297973632812,158.93849182128906,114.47393798828125,144.63470458984375,124.17007446289062,0.7732250690460205,0.7698687314987183,0.7638205885887146
10.0,0.3,1.0,279.3516540527344,115.8984603881836,157.9407958984375,113.61566162109375,144.09768676757812,123.94083404541016,0.7842378616333008,0.7556791305541992,0.7317761182785034
11.0,0.33333333333333337,1.0,280.2001953125,116.49723815917969,157.0222625732422,112.71440124511719,143.56765747070312,123.75694274902344,0.7601074576377869,0.7528218030929565,0.7049914598464966
12.0,0.3666666666666667,1.0,281.073486328125,117.1788101196289,156.11830139160156,111.31059265136719,142.9710235595703,123.49405670166016,0.7902299761772156,0.7506891489028931,0.7345065474510193
13.0,0.4,1.0,281.6124267578125,117.81514739990234,155.40618896484375,110.09823608398438,142.3222198486328,123.21247863769531,0.7875021696090698,0.7533437013626099,0.7417439818382263
14.0,0.43333333333333335,1.0,282.40802001953125,118.36138916015625,154.55294799804688,108.66505432128906,141.6295166015625,123.09260559082031,0.7434957027435303,0.7378672957420349,0.7338880896568298
15.0,0.4666666666666667,1.0,282.92779541015625,119.03948211669922,153.892578125,106.84324645996094,140.99485778808594,123.14553833007812,0.7614598274230957,0.7503019571304321,0.7371692657470703
16.0,0.5,1.0,283.3565673828125,119.78814697265625,152.89468383789062,105.38319396972656,140.1876220703125,123.01277160644531,0.7686991095542908,0.7480736374855042,0.7452528476715088
17.0,0.5333333333333333,1.0,283.8087158203125,120.49278259277344,151.75555419921875,103.79335021972656,139.23251342773438,123.01346588134766,0.7851633429527283,0.7531352639198303,0.7312994599342346
18.0,0.5666666666666667,1.0,284.25128173828125,121.19650268554688,151.1138916015625,102.29499816894531,138.22789001464844,123.03208923339844,0.7730676531791687,0.7705283164978027,0.7290147542953491
19.0,0.6,1.0,284.71142578125,121.9523696899414,150.41470336914062,100.53152465820312,137.09091186523438,123.05247497558594,0.7715744972229004,0.7531754970550537,0.7509558796882629
20.0,0.6333333333333334,1.0,285.13787841796875,122.88213348388672,149.64292907714844,99.05599975585938,136.06011962890625,123.18663787841797,0.7505591511726379,0.7250776886940002,0.7247369289398193
21.0,0.6666666666666667,1.0,285.5802917480469,123.71025085449219,148.95547485351562,97.34378051757812,134.90672302246094,123.38794708251953,0.7751429080963135,0.7638417482376099,0.7428972125053406
22.0,0.7000000000000001,1.0,286.07379150390625,124.53971862792969,148.05105590820312,96.25349426269531,133.52432250976562,123.47123718261719,0.7716482877731323,0.7620221972465515,0.7610195875167847
23.0,0.735,1.0,286.56219482421875,125.43539428710938,147.3902130126953,95.55413818359375,132.42922973632812,123.47409057617188,0.7865510582923889,0.7577919363975525,0.7557854056358337
24.0,0.7683333333333334,1.0,287.2364501953125,126.50650024414062,146.39187622070312,94.59931945800781,131.54190063476562,123.33341979980469,0.7917608618736267,0.7389624118804932,0.7373536229133606
25.0,0.8016666666666667,1.0,287.518798828125,127.811279296875,145.60748291015625,94.42103576660156,130.63177490234375,123.0684585571289,0.7836902141571045,0.7322996854782104,0.7168434858322144
26.0,0.8350000000000001,1.0,288.0234069824219,129.1719512939453,144.62486267089844,94.50953674316406,129.8859405517578,122.68523406982422,0.7640491724014282,0.7506108283996582,0.7359894514083862
27.0,0.8683333333333334,1.0,288.48858642578125,130.37997436523438,143.60006713867188,94.57794189453125,129.239013671875,121.8613510131836,0.7937189936637878,0.7833443284034729,0.7372515797615051
28.0,0.9016666666666667,1.0,288.89276123046875,131.59698486328125,142.56475830078125,94.71998596191406,128.647705078125,121.13583374023438,0.7921321392059326,0.7541899085044861,0.7448611855506897
29.0,0.935,1.0,289.16925048828125,132.97149658203125,141.4832000732422,95.17831420898438,128.13999938964844,120.18508911132812,0.7653555274009705,0.7412171363830566,0.7362391352653503
30.0,0.9683333333333334,1.0,289.32135009765625,134.64669799804688,140.44778442382812,95.85784912109375,127.63441467285156,119.1175765991211,0.7840845584869385,0.7798742055892944,0.7698166966438293
