frame_id,time,detected,x1,y1,c1
1.0,0.0,1.0,287.938232421875,107.23583984375,0.7314165830612183
2.0,0.03333333333333333,1.0,287.88824462890625,108.77857208251953,0.7578680515289307
3.0,0.06666666666666667,1.0,288.2558288574219,110.15377807617188,0.7670998573303223
4.0,0.1,1.0,288.35528564453125,111.71957397460938,0.740537703037262
5.0,0.13333333333333333,1.0,288.42919921875,113.20569610595703,0.7513143420219421
6.0,0.16666666666666669,1.0,288.5438232421875,114.34954833984375,0.758118748664856
7.0,0.2,1.0,288.75469970703125,115.68093872070312,0.7409082055091858
8.0,0.23333333333333334,1.0,288.7315673828125,117.24324035644531,0.7334809303283691
9.0,0.26666666666666666,1.0,289.0087890625,118.61721801757812,0.7745248675346375
10.0,0.3,1.0,288.9950866699219,119.71168518066406,0.7730205059051514
11.0,0.33333333333333337,1.0,289.4168395996094,120.9733657836914,0.7582350373268127
12.0,0.3666666666666667,1.0,289.1634521484375,122.0204086303711,0.7413559556007385
13.0,0.4,1.0,289.3123474121094,123.18099975585938,0.7760209441184998
14.0,0.43333333333333335,1.0,289.5910949707031,123.92587280273438,0.7879851460456848
15.0,0.4666666666666667,1.0,290.0650329589844,124.88324737548828,0.7805066704750061
16.0,0.5,1.0,290.3408203125,126.0272216796875,0.7592148780822754
17.0,0.5333333333333333,1.0,290.48486328125,126.73896789550781,0.7530354261398315
18.0,0.5666666666666667,1.0,290.77008056640625,127.68321228027344,0.7772945761680603
19.0,0.6,1.0,290.9739074707031,128.5634307861328,0.8060364127159119
20.0,0.6333333333333334,1.0,291.3370361328125,129.067138671875,0.7919551134109497
21.0,0.6666666666666667,1.0,291.5625,129.93910217285156,0.762599527835846
22.0,0.7000000000000001,1.0,291.76666259765625,131.07449340820312,0.7405897378921509
23.0,0.735,1.0,292.055419921875,131.69107055664062,0.7547019720077515
24.0,0.7683333333333334,1.0,292.3614501953125,132.5629119873047,0.768989086151123
25.0,0.8016666666666667,1.0,292.5855712890625,133.2808837890625,0.7763916850090027
26.0,0.8350000000000001,1.0,292.72198486328125,133.9826202392578,0.7587525844573975
27.0,0.8683333333333334,1.0,293.005126953125,134.8517608642578,0.7590634226799011
28.0,0.9016666666666667,1.0,293.10101318359375,135.57803344726562,0.732950747013092
29.0,0.935,1.0,293.1797790527344,136.4483184814453,0.7382874488830566
30.0,0.9683333333333334,1.0,293.25653076171875,137.3232421875,0.7576087713241577
31.0,1.0016666666666667,1.0,293.3741455078125,138.10989379882812,0.778971791267395
32.0,1.0350000000000001,1.0,293.38330078125,138.70919799804688,0.7757297158241272
33.0,1.0683333333333334,1.0,293.47998046875,139.36302185058594,0.7672262787818909
34.0,1.1016666666666668,1.0,293.55975341796875,140.3267822265625,0.7581584453582764
35.0,1.135,1.0,293.18402099609375,141.06280517578125,0.7397093176841736
36.0,1.1683333333333334,1.0,292.84423828125,141.47723388671875,0.7496329545974731
37.0,1.2016666666666667,1.0,292.42950439453125,142.2985076904297,0.7730487585067749
38.0,1.235,1.0,292.01666259765625,142.61895751953125,0.7726802825927734
39.0,1.2683333333333333,1.0,291.874267578125,142.61181640625,0.7781082391738892
40.0,1.3016666666666667,1.0,291.722412109375,142.20091247558594,0.7694438695907593
41.0,1.335,1.0,291.5943603515625,141.86402893066406,0.7606332898139954
42.0,1.3683333333333334,1.0,291.5020446777344,141.09622192382812,0.7308597564697266
43.0,1.4016666666666668,1.0,291.53265380859375,140.43540954589844,0.7325460910797119
44.0,1.435,1.0,291.51812744140625,139.42108154296875,0.7636903524398804
45.0,1.4683333333333335,1.0,291.33599853515625,138.82330322265625,0.7749395370483398
46.0,1.5016666666666667,1.0,291.38690185546875,137.8387451171875,0.7636101245880127
47.0,1.5350000000000001,1.0,291.1381530761719,136.85568237304688,0.7626953125
48.0,1.5683333333333334,1.0,290.86053466796875,136.0182647705078,0.7457942962646484
49.0,1.6016666666666668,1.0,290.55706787109375,134.9787139892578,0.770067036151886
50.0,1.635,1.0,290.00946044921875,134.0582275390625,0.7964611649513245
51.0,1.6683333333333334,1.0,289.6432189941406,132.89590454101562,0.7840837836265564
52.0,1.7016666666666667,1.0,289.39410400390625,131.83285522460938,0.7533411979675293
53.0,1.735,1.0,288.91455078125,130.9556121826172,0.750665009021759
54.0,1.7683333333333333,1.0,288.41510009765625,129.92959594726562,0.7671056389808655
55.0,1.8016666666666667,1.0,287.8939514160156,128.79257202148438,0.7748960852622986
56.0,1.8350000000000002,1.0,287.28582763671875,127.52024841308594,0.7540634870529175
57.0,1.8683333333333334,1.0,286.5027770996094,126.36753845214844,0.7385731339454651
58.0,1.9016666666666668,1.0,285.9163513183594,125.54838562011719,0.7494810223579407
59.0,1.935,1.0,285.4556884765625,124.28959655761719,0.7914615869522095
60.0,1.9683333333333335,1.0,284.4847412109375,123.22838592529297,0.769872784614563
61.0,2.001666666666667,1.0,284.05145263671875,122.10491943359375,0.74514240026474
62.0,2.035,1.0,283.1092529296875,121.15272521972656,0.7437716722488403
63.0,2.0683333333333334,1.0,282.661865234375,119.94766235351562,0.7671864032745361
64.0,2.1016666666666666,1.0,281.6564636230469,118.84188842773438,0.7932656407356262
65.0,2.1350000000000007,1.0,281.1410217285156,117.89261627197266,0.7715312838554382
66.0,2.17,1.0,280.0302429199219,116.85791015625,0.7403443455696106
67.0,2.2033333333333336,1.0,279.189453125,116.2620849609375,0.7518859505653381
68.0,2.236666666666667,1.0,278.5484619140625,115.08323669433594,0.7670272588729858
69.0,2.27,1.0,277.3043518066406,114.48260498046875,0.776053249835968
